_id,Complaint Number,Channel of Receipt,Initial Request Date for Information,Complaint Subject,Complaint Receipt Date,Entity Complained Against,Closing Date,Decision,Number of Treatment Days,Status
19,32/19,Online Form,2018-11-05 00:00:00,No Response,2019-02-27 00:00:00,משרד החינוך,2019-06-19 09:48:38,Justified,112,Treatment Completed
20,34/19,Online Form,2019-01-22 00:00:00,No Response,2019-03-04 00:00:00,רשות המסים בישראל,2019-06-02 09:00:31,Justified,90,Treatment Completed
21,35/19,Online Form,2019-02-06 00:00:00,No Response,2019-03-07 00:00:00,משרד הבריאות,2019-05-20 12:18:15,Unjustified,74,Treatment Completed
22,37/19,Online Form,2018-01-07 00:00:00,No Response,2019-03-17 00:00:00,משרד הביטחון,2019-09-04 15:03:38,Justified,171,Treatment Completed
23,36/19,Online Form,2017-08-10 00:00:00,No Response,2019-03-17 00:00:00,משרד הביטחון,2019-05-16 12:05:08,Unjustified,60,Treatment Completed
24,40/19,Online Form,2019-01-01 00:00:00,No Response,2019-03-19 00:00:00,משרד הבריאות,2019-07-31 09:16:23,Justified,134,Treatment Completed
25,41/19,Online Form,2019-02-06 00:00:00,No Response,2019-03-20 00:00:00,עיריית טבריה,2019-03-28 09:39:43,Justified,8,Treatment Completed
26,44/19,Online Form,2019-02-20 00:00:00,No Response,2019-03-28 00:00:00,רשות מקרקעי ישראל,2019-05-29 10:37:25,Unjustified,62,Treatment Completed
27,46/19,Online Form,2018-05-03 00:00:00,No Response,2019-03-31 00:00:00,משרד התחבורה והבטיחות בדרכים,2019-08-12 11:47:25,Justified,134,Treatment Completed
28,48/19,Online Form,2018-09-02 00:00:00,No Response,2019-03-31 00:00:00,משרד התחבורה והבטיחות בדרכים,2019-07-04 08:24:35,Justified,95,Treatment Completed
29,50/19,Online Form,2019-01-31 00:00:00,No Response,2019-03-31 00:00:00,משרד התחבורה והבטיחות בדרכים,2019-07-21 11:09:26,Justified,112,Treatment Completed
30,47/19,Online Form,2018-09-02 00:00:00,No Response,2019-03-31 00:00:00,משרד התחבורה והבטיחות בדרכים,2019-04-04 14:09:25,Treatment Discontinued,4,Treatment Completed
31,49/19,Online Form,2019-01-13 00:00:00,No Response,2019-03-31 00:00:00,משרד התחבורה והבטיחות בדרכים,2019-04-04 14:13:00,Treatment Discontinued,4,Treatment Completed
32,45/19,Online Form,2019-02-03 00:00:00,No Response,2019-03-31 00:00:00,רשות המים והביוב,2019-12-02 15:28:26,Unjustified,246,Treatment Completed
33,54/19,Online Form,2018-12-31 00:00:00,No Response,2019-04-03 00:00:00,משרד החינוך,2019-08-12 11:22:15,Justified,131,Treatment Completed
34,53/19,Online Form,2018-12-27 00:00:00,No Response,2019-04-03 00:00:00,משרד החינוך,2019-08-13 07:56:13,Justified,132,Treatment Completed
35,58/19,Email,2019-02-11 00:00:00,Unknown,2019-04-11 11:47:00,משרד הבריאות,2019-07-09 10:23:10,Justified,88,Treatment Completed
36,59/19,Email,2019-01-15 00:00:00,Unknown,2019-04-11 13:05:00,משרד העבודה הרווחה והשירותים החברתיים,2019-10-23 12:12:36,Justified,194,Treatment Completed
37,61/19,Online Form,2019-01-28 00:00:00,No Response,2019-04-14 00:00:00,משרד הבריאות,2019-07-18 10:38:53,Justified,95,Treatment Completed
38,63/19,Online Form,2019-01-27 00:00:00,No Response,2019-04-15 00:00:00,משרד החינוך,2019-08-13 09:53:26,Justified,120,Treatment Completed
39,62/19,Online Form,2018-04-16 00:00:00,No Response,2019-04-15 00:00:00,רשות האוכלוסין וההגירה,2019-06-23 09:15:25,Justified,69,Treatment Completed
40,64/19,Email,2019-01-20 00:00:00,No Response,2019-04-18 15:08:00,משרד הבריאות,2019-06-18 11:31:41,Justified,60,Treatment Completed
41,65/19,Online Form,2019-01-21 00:00:00,No Response,2019-04-26 00:00:00,משרד ראש הממשלה,2019-07-31 09:49:16,Justified,96,Treatment Completed
42,66/19,Online Form,2018-12-26 00:00:00,No Response,2019-05-01 00:00:00,משרד החקלאות ופיתוח הכפר,2019-06-18 09:50:29,Justified,48,Treatment Completed
43,69/19,Online Form,2019-02-23 00:00:00,Unknown,2019-05-09 00:00:00,משרד החינוך,2019-09-05 09:00:49,Justified,119,Treatment Completed
44,68/19,Online Form,2019-03-22 00:00:00,No Response,2019-05-09 00:00:00,משרד התחבורה והבטיחות בדרכים,2019-05-29 14:25:52,Unjustified,20,Treatment Completed
45,70/19,Email,2018-12-25 00:00:00,No Response,2019-05-12 09:37:00,משרד העבודה הרווחה והשירותים החברתיים,2019-07-11 14:59:01,Justified,60,Treatment Completed
46,72/19,Online Form,2019-01-24 00:00:00,No Response,2019-05-14 00:00:00,משרד העבודה הרווחה והשירותים החברתיים,2019-07-17 08:46:57,Justified,64,Treatment Completed
47,74/19,Online Form,2019-03-31 00:00:00,No Response,2019-05-16 00:00:00,משרד הבריאות,2019-09-19 10:26:24,Justified,126,Treatment Completed
48,78/19,Online Form,2019-03-07 00:00:00,No Response,2019-05-20 00:00:00,המשרד לביטחון פנים,2019-09-12 14:08:39,Justified,115,Treatment Completed
49,77/19,Online Form,2019-03-12 00:00:00,No Response,2019-05-20 00:00:00,המשרד לביטחון הפנים,2019-11-11 08:25:52,Justified,175,Treatment Completed
50,81/19,Online Form,2019-02-05 00:00:00,No Response,2019-05-22 00:00:00,משרד הבריאות,2019-07-11 15:33:06,Justified,50,Treatment Completed
51,80/19,Online Form,2019-04-12 00:00:00,No Response,2019-05-22 00:00:00,הנהלת בתי המשפט,2019-10-22 12:38:51,Unjustified,153,Treatment Completed
52,84/19,Email,2018-12-30 00:00:00,Environmental Information,2019-05-23 15:00:00,המשרד להגנת הסביבה,2019-08-15 17:52:07,Justified,84,Treatment Completed
53,86/19,Online Form,2019-02-05 00:00:00,No Response,2019-05-26 00:00:00,משרד הבריאות,2019-07-15 09:11:49,Justified,50,Treatment Completed
54,88/19,Email,2018-12-23 00:00:00,No Response,2019-05-28 11:23:00,משרד ראש הממשלה,2020-01-01 11:08:52,Justified,217,Treatment Completed
55,89/19,Online Form,2019-02-03 00:00:00,No Response,2019-05-29 00:00:00,רשות המים והביוב,2019-08-29 13:16:41,Treatment Discontinued,92,Treatment Completed
56,91/19,Online Form,2019-03-20 00:00:00,No Response,2019-06-04 00:00:00,משרד הבריאות,2019-10-06 14:56:53,Treatment Discontinued,124,Treatment Completed
57,93/19,Email,2019-05-23 00:00:00,Administrative Guidelines,2019-06-10 14:28:00,משרד המשפטים,2019-12-01 14:58:45,Unjustified,174,Treatment Completed
58,94/19,Email,2019-05-16 00:00:00,No Response,2019-06-10 15:08:00,האפוטרופוס הכללי והכונס הרשמי,2019-07-18 12:20:14,Unjustified,37,Treatment Completed
59,96/19,Online Form,2018-12-27 00:00:00,No Response,2019-06-12 00:00:00,משרד הבריאות,2019-10-22 13:01:45,Justified,132,Treatment Completed
60,95/19,Email,2019-03-20 00:00:00,Unknown,2019-06-12 11:46:00,משרד העבודה הרווחה והשירותים החברתיים,2019-07-23 08:16:02,Justified,40,Treatment Completed
61,98/19,Online Form,2019-01-22 00:00:00,No Response,2019-06-13 00:00:00,צהל,2019-08-12 11:30:07,Justified,60,Treatment Completed
62,99/19,Online Form,2019-01-22 00:00:00,No Response,2019-06-13 00:00:00,צבא הגנה לישראל,2019-08-12 11:40:25,Justified,60,Treatment Completed
63,97/19,Online Form,2018-08-06 00:00:00,No Response,2019-06-13 00:00:00,משרד החקלאות ופיתוח הכפר,2019-07-07 10:53:08,Justified,24,Treatment Completed
64,100/19,Online Form,2019-01-22 00:00:00,No Response,2019-06-13 00:00:00,צבא הגנה לישראל,2019-07-09 09:36:40,Justified,26,Treatment Completed
65,101/19,Email,2019-03-19 00:00:00,No Response,2019-06-16 10:23:00,משרד הבריאות,2019-07-31 08:17:37,Justified,44,Treatment Completed
66,102/19,Email,2018-11-19 00:00:00,No Response,2019-06-16 14:49:00,משרד החינוך,2019-10-23 11:59:14,Justified,128,Treatment Completed
67,104/19,Online Form,2019-03-20 00:00:00,No Response,2019-06-19 00:00:00,משרד הבריאות,2019-10-22 11:08:26,Justified,125,Treatment Completed
68,103/19,Email,2018-02-28 00:00:00,Unknown,2019-06-19 10:03:00,משטרת ישראל,2019-06-27 10:53:07,Unjustified,8,Treatment Completed
69,107/19,Online Form,2019-01-07 00:00:00,No Response,2019-06-22 00:00:00,משרד הביטחון,2019-07-08 16:27:21,Justified,16,Treatment Completed
70,108/19,Online Form,2019-05-19 00:00:00,No Response,2019-06-24 00:00:00,משרד הבריאות,2019-07-31 08:30:08,Justified,37,Treatment Completed
71,109/19,Email,2019-02-11 00:00:00,Unknown,2019-06-24 15:45:00,המשרד להגנת הסביבה,2019-08-13 09:44:35,Justified,49,Treatment Completed
72,110/19,Email,2019-04-17 00:00:00,No Response,2019-06-25 13:43:00,צבא הגנה לישראל,2019-08-12 10:43:17,Unjustified,47,Treatment Completed
73,111/19,Email,2019-04-24 00:00:00,Unknown,2019-06-27 08:34:00,משרד הבריאות,2019-11-07 12:19:59,Justified,133,Treatment Completed
74,112/19,Online Form,2019-04-14 00:00:00,No Response,2019-07-01 00:00:00,משרד הבריאות,2019-07-17 08:40:19,Justified,16,Treatment Completed
75,115/19,Online Form,2019-04-16 00:00:00,No Response,2019-07-02 00:00:00,המשרד להגנת הסביבה,2019-07-11 15:51:49,Justified,9,Treatment Completed
76,116/19,Online Form,2019-05-22 00:00:00,No Response,2019-07-04 00:00:00,רשות האוכלוסין וההגירה,2019-07-29 15:26:13,Justified,25,Treatment Completed
77,118/19,Online Form,2018-02-26 00:00:00,No Response,2019-07-09 00:00:00,משרד החקלאות ופיתוח הכפר,2019-07-29 15:29:19,Justified,20,Treatment Completed
78,119/19,Online Form,2019-05-22 00:00:00,No Response,2019-07-09 00:00:00,משרד החקלאות ופיתוח הכפר,2019-11-06 09:07:22,Justified,120,Treatment Completed
79,121/19,Email,2019-03-21 00:00:00,Unknown,2019-07-14 15:56:00,רשות האכיפה והגבייה,2019-07-24 08:32:33,Unjustified,9,Treatment Completed
80,123/19,Email,2019-03-13 00:00:00,No Response,2019-07-16 16:24:00,צהל,2019-09-05 09:17:33,Justified,50,Treatment Completed
81,124/19,Email,2019-07-04 00:00:00,Annual Report,2019-07-18 14:23:00,המשרד לביטחון הפנים,2019-12-25 11:02:47,Justified,159,Treatment Completed
82,131/19,Online Form,2018-12-09 00:00:00,No Response,2019-07-21 00:00:00,משרד העלייה והקליטה,2019-09-05 11:09:11,Unjustified,46,Treatment Completed
83,125/19,Email,2019-07-04 00:00:00,Annual Report,2019-07-21 09:09:00,רשות המים והביוב,2019-12-25 11:07:41,Justified,157,Treatment Completed
84,126/19,Email,2019-07-04 00:00:00,Annual Report,2019-07-21 09:41:00,המשרד לנושאים אסטרטגיים והסברה,2019-09-12 14:33:58,Justified,53,Treatment Completed
85,127/19,Email,2019-07-04 00:00:00,Unknown,2019-07-21 10:04:00,המשרד לשוויון חברתי,2019-11-06 12:48:42,Justified,108,Treatment Completed
86,129/19,Email,2019-07-04 00:00:00,Annual Report,2019-07-21 10:20:00,משרד ראש הממשלה,2020-01-01 10:01:16,Justified,163,Treatment Completed
87,128/19,Email,2019-07-04 00:00:00,Unknown,2019-07-21 10:20:00,הנהלת בתי הדין הרבניים,2019-09-15 11:26:13,Unjustified,56,Treatment Completed
88,130/19,Email,2018-03-27 00:00:00,No Response,2019-07-21 11:47:00,משרד ראש הממשלה,2020-01-09 11:24:45,Justified,171,Treatment Completed
89,132/19,Online Form,2018-07-29 00:00:00,No Response,2019-07-23 00:00:00,משרד הביטחון,2019-10-23 12:17:40,Justified,92,Treatment Completed
90,133/19,Online Form,2018-12-04 00:00:00,No Response,2019-07-23 00:00:00,המשרד לביטחון הפנים,2020-01-08 11:49:51,Justified,169,Treatment Completed
91,134/19,Online Form,2019-04-11 00:00:00,No Response,2019-07-24 00:00:00,רשות החברות הממשלתיות,2019-09-16 08:43:09,Justified,54,Treatment Completed
92,136/19,Online Form,2019-07-21 00:00:00,No Response,2019-07-28 00:00:00,משרד הפנים,2019-09-11 10:42:38,Justified,45,Treatment Completed
93,137/19,Online Form,2019-05-16 00:00:00,No Response,2019-07-30 00:00:00,האפוטרופוס הכללי והכונס הרשמי,2019-09-16 09:14:43,Justified,48,Treatment Completed
94,138/19,Online Form,2019-04-01 00:00:00,No Response,2019-08-06 00:00:00,משרד המשפטים,2019-09-18 15:35:44,Unjustified,43,Treatment Completed
95,150/19,Email,2019-05-02 00:00:00,No Response,2019-08-09 00:00:00,משרד הבריאות,2019-11-03 09:31:16,Justified,86,Treatment Completed
96,139/19,Email,2019-05-18 00:00:00,No Response,2019-08-15 00:00:00,משרד האוצר,2019-09-22 12:34:14,Justified,38,Treatment Completed
97,140/19,Email,2019-06-23 00:00:00,No Response,2019-08-18 14:04:00,רשות האכיפה והגבייה,2019-09-05 11:48:12,Unjustified,17,Treatment Completed
98,141/19,Online Form,2019-06-16 00:00:00,No Response,2019-08-20 00:00:00,צהל,2019-11-18 08:02:49,Justified,90,Treatment Completed
99,143/19,Online Form,2019-07-15 00:00:00,No Response,2019-08-25 00:00:00,מנהל אזרחי אזור יהודה ושומרון,2019-11-12 07:51:05,Justified,79,Treatment Completed
100,151/19,Email,2019-06-22 00:00:00,No Response,2019-08-25 00:00:00,משטרת ישראל,2019-11-17 13:25:34,Justified,84,Treatment Completed
101,142/19,Online Form,2019-06-23 00:00:00,No Response,2019-08-25 00:00:00,הנהלת בתי המשפט,2019-10-29 11:20:01,Unjustified,65,Treatment Completed
102,144/19,Online Form,2019-07-23 00:00:00,No Response,2019-08-26 00:00:00,משרד החינוך,2019-10-06 13:11:11,Unjustified,41,Treatment Completed
103,145/19,Email,2019-04-07 00:00:00,Lack of Justification,2019-08-26 09:45:00,משרד החינוך,2019-10-29 11:31:00,Justified,64,Treatment Completed
104,146/19,Online Form,2019-05-22 00:00:00,No Response,2019-08-27 00:00:00,רשות האוכלוסין וההגירה,2019-09-18 16:02:35,Justified,22,Treatment Completed
105,147/19,Online Form,2019-05-28 00:00:00,No Response,2019-08-27 00:00:00,רשות האוכלוסין וההגירה,2019-10-10 08:48:05,Justified,44,Treatment Completed
106,148/19,Email,2019-06-10 00:00:00,No Response,2019-08-28 12:16:00,משרד התחבורה והבטיחות בדרכים,2019-11-12 11:20:56,Justified,75,Treatment Completed
107,164/19,Email,2019-06-17 00:00:00,Lack of Justification,2019-09-01 00:00:00,משטרת ישראל,2019-11-14 08:22:00,Justified,74,Treatment Completed
108,149/19,Online Form,2019-08-01 00:00:00,No Response,2019-09-01 00:00:00,משרד המשפטים,2019-09-19 08:18:43,Unjustified,18,Treatment Completed
109,153/19,Online Form,2019-07-28 00:00:00,No Response,2019-09-02 00:00:00,רשות האוכלוסין וההגירה,2019-11-19 11:15:58,Partially Justified,78,Treatment Completed
110,154/19,Online Form,2019-07-28 00:00:00,No Response,2019-09-02 00:00:00,רשות האוכלוסין וההגירה,2019-09-22 13:42:00,Justified,20,Treatment Completed
111,155/19,Online Form,2019-07-28 00:00:00,No Response,2019-09-02 00:00:00,רשות האוכלוסין וההגירה,2019-11-12 08:08:12,Justified,71,Treatment Completed
112,156/19,Phone,2019-09-03 15:27:00,Unknown,2019-09-03 15:27:00,רשות התחרות,2019-09-03 15:36:53,Unjustified,0,Treatment Completed
113,158/19,Online Form,2019-07-18 00:00:00,No Response,2019-09-04 00:00:00,משטרת ישראל,2019-11-05 08:12:02,Justified,62,Treatment Completed
114,157/19,Online Form,2019-07-21 00:00:00,No Response,2019-09-04 00:00:00,צהל,2019-09-15 13:17:47,Unjustified,11,Treatment Completed
115,160/19,Online Form,2018-11-07 00:00:00,No Response,2019-09-05 00:00:00,מנהל אזרחי אזור יהודה ושומרון,2020-01-01 11:12:58,Justified,118,Treatment Completed
116,159/19,Email,2019-07-05 03:00:00,No Response,2019-09-05 13:28:00,צבא הגנה לישראל,2020-01-01 10:53:12,Justified,117,Treatment Completed
117,161/19,Online Form,2019-07-30 00:00:00,No Response,2019-09-08 00:00:00,משרד החינוך,2019-12-25 08:49:40,Justified,108,Treatment Completed
118,163/19,Online Form,2019-05-30 00:00:00,No Response,2019-09-09 00:00:00,משרד המשפטים,2019-10-22 12:49:21,Justified,43,Treatment Completed
119,165/19,Online Form,2019-08-11 00:00:00,No Response,2019-09-09 00:00:00,המשרד להגנת הסביבה,2020-01-12 11:10:24,Justified,125,Treatment Completed
120,166/19,Online Form,2019-03-06 00:00:00,No Response,2019-09-10 00:00:00,הרשות להסדרת התיישבות הבדואים בנגב,2019-11-05 08:27:28,Justified,56,Treatment Completed
121,170/19,Online Form,2019-06-18 00:00:00,No Response,2019-09-11 00:00:00,הנהלת בתי הדין הרבניים,2019-10-10 14:08:19,Justified,29,Treatment Completed
122,167/19,Online Form,2019-06-10 00:00:00,No Response,2019-09-11 00:00:00,משרד הביטחון,2019-10-23 10:41:23,Justified,42,Treatment Completed
123,169/19,Online Form,2019-09-11 00:00:00,Annual Report,2019-09-11 00:00:00,רשות שוק ההון הביטוח והחיסכון,2019-10-30 09:54:35,Justified,49,Treatment Completed
124,168/19,Online Form,2019-06-12 00:00:00,No Response,2019-09-11 00:00:00,הרשות להסדרת התיישבות הבדואים בנגב,2019-11-05 08:31:10,Justified,55,Treatment Completed
125,171/19,Online Form,2019-06-30 00:00:00,No Response,2019-09-16 00:00:00,הרבנות הראשית לישראל,2019-10-23 10:45:47,Unjustified,37,Treatment Completed
126,172/19,Email,2019-07-23 00:00:00,Unknown,2019-09-18 11:32:00,משרד החינוך,2019-10-30 11:06:51,Justified,41,Treatment Completed
127,175/19,Online Form,2019-05-15 00:00:00,No Response,2019-09-22 00:00:00,המשרד לביטחון הפנים,2019-11-12 08:22:15,Justified,51,Treatment Completed
128,176/19,Email,2019-06-12 00:00:00,Lack of Justification,2019-09-22 14:10:00,משטרת ישראל,2019-10-24 08:36:23,Justified,31,Treatment Completed
129,177/19,Email,2019-05-16 00:00:00,No Response,2019-09-23 15:08:00,משרד העבודה הרווחה והשירותים החברתיים,2020-02-17 12:07:55,Justified,146,Treatment Completed
130,179/19,Email,2019-07-17 00:00:00,No Response,2019-09-26 10:00:00,משרד התחבורה והבטיחות בדרכים,2019-11-06 13:00:25,Justified,41,Treatment Completed
131,180/19,Online Form,2019-08-22 00:00:00,No Response,2019-10-01 00:00:00,משרד הפנים,2020-01-12 07:43:33,Justified,103,Treatment Completed
132,183/19,Email,2019-04-30 00:00:00,No Response,2019-10-02 00:00:00,משרד הבריאות,2019-12-02 10:37:55,Justified,61,Treatment Completed
133,182/19,Email,2019-06-17 00:00:00,No Response,2019-10-02 00:00:00,צהל,2020-01-13 14:14:11,Justified,103,Treatment Completed
134,184/19,Email,2019-07-25 00:00:00,No Response,2019-10-03 12:57:00,משרד החינוך,2019-10-31 08:07:01,Justified,27,Treatment Completed
135,185/19,Email,2019-04-15 00:00:00,No Response,2019-10-03 13:40:00,משטרת ישראל,2019-11-20 08:58:51,Justified,47,Treatment Completed
136,186/19,Email,2019-07-21 00:00:00,No Response,2019-10-07 00:00:00,משרד החינוך,2019-10-29 11:46:04,Justified,22,Treatment Completed
137,187/19,Online Form,2019-08-31 00:00:00,No Response,2019-10-17 00:00:00,משרד הפנים,2019-12-25 09:20:07,Justified,69,Treatment Completed
138,188/19,Email,2019-08-22 00:00:00,No Response,2019-10-22 08:58:00,רשות המים והביוב,2019-12-18 08:36:22,Justified,56,Treatment Completed
139,191/19,Online Form,2019-10-23 00:00:00,Administrative Guidelines,2019-10-23 00:00:00,המשרד להגנת הסביבה,2019-10-24 09:33:08,Unjustified,1,Treatment Completed
140,189/19,Online Form,2019-08-20 00:00:00,No Response,2019-10-23 00:00:00,רשות מקרקעי ישראל,2019-12-10 09:52:42,Unjustified,48,Treatment Completed
141,190/19,Online Form,2019-08-20 00:00:00,No Response,2019-10-23 00:00:00,משרד הבינוי והשיכון,2020-01-09 14:44:44,Unjustified,78,Treatment Completed
142,193/19,Online Form,2019-08-28 00:00:00,No Response,2019-11-06 00:00:00,משרד החינוך,2019-12-16 13:42:53,Unjustified,40,Treatment Completed
143,192/19,Email,2019-07-05 00:00:00,No Response,2019-11-06 10:48:00,משרד ראש הממשלה,2019-12-09 10:06:23,Unjustified,32,Treatment Completed
144,194/19,Email,2019-09-03 00:00:00,No Response,2019-11-07 09:14:00,משרד החינוך,2019-11-17 10:37:37,Unjustified,10,Treatment Completed
145,196/19,Online Form,2019-06-11 00:00:00,No Response,2019-11-10 00:00:00,משרד הבריאות,2020-02-06 12:50:18,Justified,88,Treatment Completed
146,198/19,Email,2019-08-12 00:00:00,No Response,2019-11-11 00:00:00,משטרת ישראל,2019-11-21 12:20:43,Justified,10,Treatment Completed
147,197/19,Online Form,2019-10-27 00:00:00,No Response,2019-11-11 00:00:00,משרד החינוך,2019-12-25 09:39:40,Justified,44,Treatment Completed
148,202/19,Online Form,2019-07-25 00:00:00,No Response,2019-11-13 00:00:00,משרד הבריאות,2020-02-10 13:04:48,Justified,89,Treatment Completed
149,199/19,Online Form,2019-02-05 00:00:00,No Response,2019-11-13 00:00:00,משרד הבריאות,2020-01-05 11:40:01,Justified,53,Treatment Completed
150,200/19,Email,2019-05-13 00:00:00,No Response,2019-11-13 13:17:00,משרד החקלאות ופיתוח הכפר,2019-12-15 11:48:55,Justified,31,Treatment Completed
151,201/19,Email,2019-09-09 00:00:00,No Response,2019-11-13 14:16:00,משרד העבודה הרווחה והשירותים החברתיים,2020-02-02 13:09:36,Justified,80,Treatment Completed
152,203/19,Email,2019-10-13 00:00:00,No Response,2019-11-14 10:43:00,משרד התקשורת,2019-11-14 12:47:20,Treatment Discontinued,0,Treatment Completed
153,205/19,Email,2019-08-13 00:00:00,No Response,2019-11-17 00:00:00,משרד הבריאות,2019-12-17 08:10:53,Justified,30,Treatment Completed
154,206/19,Email,2019-07-22 00:00:00,No Response,2019-11-21 10:12:00,משרד הבריאות,2019-12-23 13:34:00,Treatment Discontinued,32,Treatment Completed
155,207/19,Email,2019-05-21 00:00:00,No Response,2019-11-22 00:00:00,משרד העלייה והקליטה,2019-12-01 11:47:18,Treatment Discontinued,9,Treatment Completed
156,208/19,Email,2019-05-21 00:00:00,No Response,2019-11-22 00:00:00,משרד ראש הממשלה,2019-12-01 11:43:56,Treatment Discontinued,9,Treatment Completed
157,209/19,Email,2019-11-19 00:00:00,No Response,2019-12-01 15:13:00,מנהל אזרחי אזור יהודה ושומרון,2020-03-11 12:48:21,Justified,100,Treatment Completed
158,210/19,Email,2019-10-10 00:00:00,No Response,2019-12-01 15:52:00,המשרד להגנת הסביבה,2020-01-05 10:44:13,Justified,34,Treatment Completed
159,211/19,Online Form,2019-08-01 00:00:00,No Response,2019-12-03 00:00:00,נציבות שירות המדינה,2019-12-30 14:28:18,Justified,27,Treatment Completed
160,216/19,Online Form,2019-10-28 00:00:00,No Response,2019-12-11 00:00:00,משרד הבריאות,2019-12-30 07:58:49,Unjustified,19,Treatment Completed
161,217/19,Email,2019-10-06 00:00:00,No Response,2019-12-12 09:38:00,האפוטרופוס הכללי והכונס הרשמי,2020-02-17 11:58:00,Justified,67,Treatment Completed
162,218/19,Email,2019-11-26 00:00:00,Lack of Justification,2019-12-12 10:21:00,משרד הפנים,2020-03-03 11:17:16,Justified,82,Treatment Completed
163,219/19,Email,2019-10-24 00:00:00,No Response,2019-12-18 09:03:00,מנהל אזרחי אזור יהודה ושומרון,2020-03-03 13:40:20,Justified,76,Treatment Completed
164,220/19,Email,2019-02-11 00:00:00,No Response,2019-12-25 08:06:00,המשרד להגנת הסביבה,2020-01-30 15:04:57,Treatment Discontinued,36,Treatment Completed
165,221/19,Email,2019-11-19 00:00:00,No Response,2019-12-25 09:06:00,המשרד לביטחון הפנים,2020-01-12 08:42:39,Justified,17,Treatment Completed
166,222/19,Email,2019-11-21 00:00:00,No Response,2019-12-25 09:15:00,המשרד לביטחון הפנים,2019-12-30 08:32:27,Justified,4,Treatment Completed
167,223/19,Email,2019-11-25 00:00:00,No Response,2019-12-30 08:36:00,נציבות שירות המדינה,2020-01-05 14:19:11,Justified,6,Treatment Completed
168,1/20,Email,2019-12-02 00:00:00,No Response,2020-01-05 08:42:00,רשות התחרות,2020-02-03 11:22:57,Unjustified,29,Treatment Completed
169,2/20,Email,2019-11-29 00:00:00,No Response,2020-01-05 09:19:00,משטרת ישראל,2020-02-19 09:48:40,Justified,45,Treatment Completed
170,3/20,Online Form,2019-07-23 00:00:00,No Response,2020-01-07 00:00:00,משטרת ישראל,2020-02-03 11:40:21,Justified,27,Treatment Completed
